task_id,task_name,lightautoml,MLJAR_B,MLJAR_P,TPOT,constantpredictor,RandomForest,TunedRandomForest_star,dataset_size,num_features,num_cells,oof_score,train_score,test_score
359955,blood-tr...,0.753(0.058),-,0.753(0.053),0.724(0.102),0.500(0.000),0.686(0.064),0.686(0.065),748,5,3740,0.7488340128490241,0.7504092537682232,0.7982456140350878
146820,wilt,0.994(0.007),0.999(0.000)8,0.995(0.009),0.996(0.004),0.500(0.000),0.989(0.012),0.991(0.010),4839,6,29034,0.8272220320425212,0.9429077634257432,0.8402544507893853
168350,phoneme,0.966(0.008),-,0.967(0.008),0.969(0.008),0.500(0.000),0.965(0.009),0.966(0.009),5404,6,32424,0.95772496430162,0.999832796890022,0.942218441871604
359956,qsar-bio...,0.934(0.034),0.932(nan)9,0.937(0.031),0.926(0.045),0.500(0.000),0.932(0.033),0.935(0.029),1055,42,44310,0.9351347958447102,0.9805228635093995,0.94738430583501
359968,churn,0.926(0.020),0.928(0.021),0.925(0.019),0.919(0.025),0.500(0.000),0.916(0.023),0.912(0.021),5000,21,105000,0.9319818855716376,0.9991613690572966,0.935534474359927
359972,sylvine,0.988(0.003),0.992(0.003),0.992(0.003),0.992(0.002),0.500(0.000),0.983(0.004),0.984(0.004),5124,21,107604,0.98408551464724,0.9990515301931936,0.9888561464424952
190137,ozone-le...,0.930(0.018),-,0.929(0.019),0.928(0.026),0.500(0.000),0.920(0.036),0.921(0.033),2534,73,184982,0.9113801671932596,0.9348341232227488,0.9129605263157896
359975,Satellite,0.986(0.025),-,0.993(0.007),0.984(0.038),0.500(0.000),0.985(0.029),0.984(0.031),5100,37,188700,0.98106135986733,0.9884162520729683,0.9697512437810946
190411,ada,0.921(0.018),0.921(0.018),0.921(0.018),0.917(0.019),0.500(0.000),0.903(0.014),0.902(0.016),4147,49,203203,0.9155484706430304,0.9200784190684618,0.9045229648991784
168911,jasmine,0.880(0.018),0.885(0.016),0.886(0.019),0.886(0.013),0.500(0.000),0.888(0.016),0.888(0.017),2984,145,432680,0.8706265330564531,0.9635618719470502,0.8752328791721847
146818,Australi...,0.946(0.020),0.943(0.020),0.944(0.017),0.939(0.022),0.500(0.000),0.940(0.021),0.938(0.022),690,15,10350,0.942119666294702,0.973524097986078,0.932935916542474
168757,credit-g,0.796(0.037),-,0.785(0.046),0.791(0.052),0.500(0.000),0.801(0.038),0.799(0.035),1000,21,21000,0.8464657738095238,0.9617782738095237,0.7511904761904762
359965,kr-vs-kp,1.000(0.001),-,1.000(0.001),0.999(0.001),0.500(0.000),0.999(0.001),0.999(0.002),3196,37,118252,0.9988448100807652,0.9996806817031536,0.998850338538609
